Game Number,Agent Name,Balance,Games Won
83,Agent 643,0.0,0
83,Agent 644,0.0,0
83,Agent 646,196211.0,1
83,Agent 647,0.0,0
83,Agent 609,0.0,2
84,Agent 646,436173.65,2
84,Agent 650,0.0,0
84,Agent 651,0.0,0
84,Agent 652,0.0,0
84,Agent 654,0.0,0
84,Agent 656,0.0,0
84,Agent 657,0.0,0
84,Agent 630,46203.15,2
85,Agent 630,0.0,2
85,Agent 658,0.0,0
85,Agent 659,0.0,0
85,Agent 660,0.0,0
85,Agent 661,107160.0,1
85,Agent 662,0.0,0
85,Agent 663,0.0,0
85,Agent 665,0.0,0
85,Agent 646,140389.38,2
86,Agent 666,311368.0,1
86,Agent 667,0.0,0
86,Agent 668,0.0,0
86,Agent 669,0.0,0
86,Agent 670,0.0,0
86,Agent 671,0.0,0
86,Agent 672,0.0,0
86,Agent 673,0.0,0
86,Agent 661,0.0,1
86,Agent 646,14562.881999999996,2
87,Agent 646,0.0,2
87,Agent 674,0.0,0
87,Agent 675,0.0,0
87,Agent 676,0.0,0
87,Agent 677,0.0,0
87,Agent 678,0.0,0
87,Agent 679,0.0,0
87,Agent 680,0.0,0
87,Agent 681,259047.0,1
87,Agent 666,61690.86,1
88,Agent 666,0.0,1
88,Agent 682,0.0,0
88,Agent 685,0.0,0
88,Agent 686,0.0,0
88,Agent 687,215424.0,1
88,Agent 688,0.0,0
88,Agent 689,0.0,0
88,Agent 681,174332.90000000002,1
89,Agent 681,0.0,1
89,Agent 690,0.0,0
89,Agent 691,0.0,0
89,Agent 692,266865.0,1
89,Agent 693,0.0,0
89,Agent 694,0.0,0
89,Agent 695,0.0,0
89,Agent 696,0.0,0
89,Agent 697,0.0,0
89,Agent 687,33462.943999999996,1
90,Agent 692,102820.4,1
90,Agent 687,0.0,1
90,Agent 698,0.0,0
90,Agent 699,0.0,0
90,Agent 700,0.0,0
90,Agent 701,0.0,0
90,Agent 702,277507.0,1
90,Agent 703,0.0,0
90,Agent 704,0.0,0
90,Agent 705,0.0,0
91,Agent 706,299905.0,1
91,Agent 707,0.0,0
91,Agent 708,0.0,0
91,Agent 709,0.0,0
91,Agent 710,0.0,0
91,Agent 711,0.0,0
91,Agent 712,0.0,0
91,Agent 713,0.0,0
91,Agent 692,0.0,1
91,Agent 702,80211.006,1
92,Agent 702,0.0,1
92,Agent 714,0.0,0
92,Agent 715,0.0,0
92,Agent 716,0.0,0
92,Agent 717,245620.0,1
92,Agent 718,0.0,0
