Game Number,Agent Name,Balance,Games Won
68,Agent 560,10000,0
68,Agent 561,10000,0
68,Agent 562,10000,0
68,Agent 563,10000,0
69,Agent 556,87945.0,1
69,Agent 549,67761.36,1
69,Agent 564,10000,0
69,Agent 565,10000,0
69,Agent 566,10000,0
69,Agent 567,10000,0
69,Agent 568,10000,0
69,Agent 569,10000,0
69,Agent 570,10000,0
69,Agent 571,10000,0
70,Agent 556,230024.930208,2
70,Agent 572,10000,0
70,Agent 573,10000,0
70,Agent 574,10000,0
70,Agent 575,10000,0
70,Agent 576,10000,0
70,Agent 577,10000,0
70,Agent 578,10000,0
70,Agent 579,10000,0
70,Agent 580,10000,0
71,Agent 573,60450.0,1
71,Agent 556,219574.930208,2
71,Agent 581,10000,0
71,Agent 582,10000,0
71,Agent 583,10000,0
71,Agent 584,10000,0
71,Agent 585,10000,0
71,Agent 586,10000,0
71,Agent 587,10000,0
71,Agent 588,10000,0
72,Agent 581,329631.0,1
72,Agent 556,9009.851859359998,2
72,Agent 589,10000,0
72,Agent 590,10000,0
72,Agent 591,10000,0
72,Agent 592,10000,0
72,Agent 593,10000,0
72,Agent 594,10000,0
72,Agent 595,10000,0
72,Agent 596,10000,0
73,Agent 590,249028.0,1
73,Agent 581,51924.96000000001,1
73,Agent 597,10000,0
73,Agent 598,10000,0
73,Agent 599,10000,0
73,Agent 600,10000,0
73,Agent 601,10000,0
73,Agent 602,10000,0
73,Agent 603,10000,0
73,Agent 604,10000,0
74,Agent 600,112225.0,1
74,Agent 590,191222.4,1
74,Agent 605,10000,0
74,Agent 606,10000,0
74,Agent 607,10000,0
74,Agent 608,10000,0
74,Agent 609,10000,0
74,Agent 610,10000,0
74,Agent 611,10000,0
74,Agent 612,10000,0
75,Agent 590,141752.59999999998,1
75,Agent 606,131682.0,1
75,Agent 600,62755.2,1
75,Agent 613,10000,0
75,Agent 614,10000,0
75,Agent 615,10000,0
75,Agent 616,10000,0
75,Agent 617,10000,0
75,Agent 618,10000,0
75,Agent 619,10000,0
76,Agent 600,193734.0,2
76,Agent 590,20411.326079999995,1
76,Agent 620,10000,0
76,Agent 621,10000,0
76,Agent 622,10000,0
76,Agent 623,10000,0
76,Agent 624,10000,0
76,Agent 625,10000,0
76,Agent 626,10000,0
76,Agent 627,10000,0
77,Agent 620,115228.0,1
77,Agent 600,168917.112,3
77,Agent 628,10000,0
77,Agent 629,10000,0
77,Agent 630,10000,0
77,Agent 631,10000,0
77,Agent 632,10000,0
77,Agent 633,10000,0
77,Agent 634,10000,0
77,Agent 635,10000,0
78,Agent 634,318571.0,1
78,Agent 600,12886.9424,3
78,Agent 636,10000,0
78,Agent 637,10000,0
78,Agent 638,10000,0
78,Agent 639,10000,0
78,Agent 640,10000,0
78,Agent 641,10000,0
78,Agent 642,10000,0
78,Agent 643,10000,0
79,Agent 640,222522.0,1
79,Agent 634,159235.5,1
79,Agent 644,10000,0
79,Agent 645,10000,0
79,Agent 646,10000,0
79,Agent 647,10000,0
79,Agent 648,10000,0
